
Month,Geo: United States
2004-01,92
2004-02,84
2004-03,86
2004-04,87
2004-05,86
2004-06,95
2004-07,95
2004-08,100
2004-09,87
2004-10,79
2004-11,73
2004-12,78
2005-01,85
2005-02,81
2005-03,82
2005-04,79
2005-05,81
2005-06,87
2005-07,85
2005-08,92
2005-09,82
2005-10,74
2005-11,69
2005-12,70
2006-01,79
2006-02,75
2006-03,73
2006-04,74
2006-05,76
2006-06,83
2006-07,84
2006-08,86
2006-09,74
2006-10,72
2006-11,66
2006-12,67
2007-01,74
2007-02,72
2007-03,71
2007-04,72
2007-05,70
2007-06,71
2007-07,73
2007-08,73
2007-09,62
2007-10,63
2007-11,55
2007-12,55
2008-01,62
2008-02,59
2008-03,58
2008-04,59
2008-05,58
2008-06,57
2008-07,60
2008-08,57
2008-09,54
2008-10,51
2008-11,44
2008-12,46
2009-01,51
2009-02,51
2009-03,51
2009-04,49
2009-05,45
2009-06,48
2009-07,50
2009-08,50
2009-09,44
2009-10,42
2009-11,39
2009-12,38
2010-01,42
2010-02,42
2010-03,43
2010-04,41
2010-05,39
2010-06,43
2010-07,45
2010-08,45
2010-09,42
2010-10,40
2010-11,37
2010-12,37
2011-01,51
2011-02,51
2011-03,52
2011-04,51
2011-05,49
2011-06,52
2011-07,53
2011-08,54
2011-09,50
2011-10,48
2011-11,45
2011-12,45
2012-01,50
2012-02,52
2012-03,49
2012-04,48
2012-05,49
2012-06,50
2012-07,53
2012-08,53
2012-09,49
2012-10,49
2012-11,44
2012-12,43
2013-01,48
2013-02,50
2013-03,48
2013-04,49
2013-05,47
2013-06,49
2013-07,52
2013-08,52
2013-09,48
2013-10,48
2013-11,44
2013-12,43
2014-01,47
2014-02,48
2014-03,49
2014-04,48
2014-05,46
2014-06,45
2014-07,45
2014-08,46
2014-09,45
2014-10,43
2014-11,37
2014-12,39
2015-01,40
2015-02,43
2015-03,41
2015-04,40
2015-05,38
2015-06,41
2015-07,42
2015-08,42
2015-09,39
2015-10,37
2015-11,35
2015-12,36
2016-01,48
2016-02,53
2016-03,51
2016-04,51
2016-05,53
2016-06,52
2016-07,55
2016-08,56
2016-09,54
2016-10,52
2016-11,48
2016-12,50
2017-01,54
2017-02,56
2017-03,57
2017-04,54
2017-05,56
2017-06,59
2017-07,59
2017-08,62
2017-09,59
2017-10,56
2017-11,52
2017-12,49
2018-01,55
2018-02,55
2018-03,55
2018-04,53
2018-05,54
2018-06,55
2018-07,55
2018-08,56
2018-09,50
2018-10,50
2018-11,48
2018-12,48
2019-01,54
2019-02,54
2019-03,55
2019-04,54
2019-05,54
2019-06,55
2019-07,57
2019-08,58
2019-09,54
2019-10,52
2019-11,49
2019-12,50
2020-01,55
2020-02,54
2020-03,47
2020-04,46
2020-05,46
2020-06,50
